순위,동반등급,등록부매칭,식당명,카테고리,대분류,근거,주의,출처,도로명주소,전화,도보거리_m,도보_분,대표사진,네이버지도,식당ID,lat,lng
1,A·동반명시,미확인,샤브인서울 성수점,"샤브샤브, 스키야키",기타,동반 가능 명시(애견/반려동물 동반 태그),동반 가능 표기. 단 견종·크기·내부동반/테라스한정·예약 여부는 정책 변동 잦아 방문 전 매장 확인 권장,공개 검색 신호(추정),서울특별시 성동구 성수일로6길 53 유원지식산업센터 1층,02-464-1213,57,1,,https://map.naver.com/p/search/%EC%83%A4%EB%B8%8C%EC%9D%B8%EC%84%9C%EC%9A%B8%20%EC%84%B1%EC%88%98%EC%A0%90,RQto2I2xAZk1,37.5440798,127.0558185
2,A·동반명시,미확인,그리노,"스테이크, 양식",웨스턴(양식),동반 가능 명시(애견/반려동물 동반 태그),동반 가능 표기. 단 견종·크기·내부동반/테라스한정·예약 여부는 정책 변동 잦아 방문 전 매장 확인 권장,공개 검색 신호(추정),서울특별시 성동구 성수이로 147 1층 103호,0507-1387-2459,403,6,,https://map.naver.com/p/search/%EA%B7%B8%EB%A6%AC%EB%85%B8,OyzeCQISJYoM,37.5479541,127.0576203
3,A·동반명시,미확인,맥코이 성수점,"커피, 카페",카페·브런치,동반 가능 명시(애견/반려동물 동반 태그),동반 가능 표기. 단 견종·크기·내부동반/테라스한정·예약 여부는 정책 변동 잦아 방문 전 매장 확인 권장,공개 검색 신호(추정),서울특별시 성동구 연무장15길 11 에스팩토리 B동 1F,0507-1310-5222,383,6,,https://map.naver.com/p/search/%EB%A7%A5%EC%BD%94%EC%9D%B4%20%EC%84%B1%EC%88%98%EC%A0%90,Q8BLWTrRwaI3,37.5427122,127.0596111
4,A·동반명시,미확인,르베지왕,"샐러드, 카레",카페·브런치,동반 가능 명시(애견/반려동물 동반 태그),동반 가능 표기. 단 견종·크기·내부동반/테라스한정·예약 여부는 정책 변동 잦아 방문 전 매장 확인 권장,공개 검색 신호(추정),서울특별시 성동구 연무장1길 15-1 1층,070-4130-0984,426,6,,https://map.naver.com/p/search/%EB%A5%B4%EB%B2%A0%EC%A7%80%EC%99%95,5upIL7dm99V5,37.5444893,127.0511271
5,A·동반명시,미확인,스케줄 성수,"파스타, 레스토랑",웨스턴(양식),동반 가능 명시(애견/반려동물 동반 태그),동반 가능 표기. 단 견종·크기·내부동반/테라스한정·예약 여부는 정책 변동 잦아 방문 전 매장 확인 권장,공개 검색 신호(추정),서울특별시 성동구 아차산로 104 2층,02-466-0236,47,1,,https://map.naver.com/p/search/%EC%8A%A4%EC%BC%80%EC%A4%84%20%EC%84%B1%EC%88%98,yWWSdOCUA4nd,37.5444452,127.0554511
6,A·동반명시,미확인,로우키,"커피, 라떼",카페·브런치,동반 가능 명시(애견/반려동물 동반 태그),동반 가능 표기. 단 견종·크기·내부동반/테라스한정·예약 여부는 정책 변동 잦아 방문 전 매장 확인 권장,공개 검색 신호(추정),"서울특별시 성동구 연무장3길 6 1층, B1층",0507-1418-2034,388,6,,https://map.naver.com/p/search/%EB%A1%9C%EC%9A%B0%ED%82%A4,JI0QtfXarLDr,37.544222,127.051585
7,A·동반명시,미확인,천상가옥,"베이커리, 카페",카페·브런치,동반 가능 명시(애견/반려동물 동반 태그),동반 가능 표기. 단 견종·크기·내부동반/테라스한정·예약 여부는 정책 변동 잦아 방문 전 매장 확인 권장,공개 검색 신호(추정),서울특별시 성동구 성수이로14길 14 A동 3층,010-4716-3753,334,5,,https://map.naver.com/p/search/%EC%B2%9C%EC%83%81%EA%B0%80%EC%98%A5,kvhFvQegWELq,37.54166,127.056862
8,A·동반명시,미확인,프렌즈앤야드,브런치,카페·브런치,동반 가능 명시(애견/반려동물 동반 태그),동반 가능 표기. 단 견종·크기·내부동반/테라스한정·예약 여부는 정책 변동 잦아 방문 전 매장 확인 권장,공개 검색 신호(추정),서울특별시 성동구 연무장15길 11 B동 1층 125호,070-0000-7979,408,6,,https://map.naver.com/p/search/%ED%94%84%EB%A0%8C%EC%A6%88%EC%95%A4%EC%95%BC%EB%93%9C,RUugUkf7mDSx,37.5424908,127.0597731
9,A·동반명시,미확인,버티샌드위치하우스,"샌드위치, 브런치카페",카페·브런치,동반 가능 명시(애견/반려동물 동반 태그),동반 가능 표기. 단 견종·크기·내부동반/테라스한정·예약 여부는 정책 변동 잦아 방문 전 매장 확인 권장,공개 검색 신호(추정),서울특별시 성동구 뚝섬로17길 31-22 1층,,567,8,,https://map.naver.com/p/search/%EB%B2%84%ED%8B%B0%EC%83%8C%EB%93%9C%EC%9C%84%EC%B9%98%ED%95%98%EC%9A%B0%EC%8A%A4,q3k2OSTmofzO,37.5407545,127.0602197
10,A·동반명시,미확인,키키노히호,"라멘, 마제소바",일식,동반 가능 명시(애견/반려동물 동반 태그),동반 가능 표기. 단 견종·크기·내부동반/테라스한정·예약 여부는 정책 변동 잦아 방문 전 매장 확인 권장,공개 검색 신호(추정),서울특별시 성동구 연무장7가길 6-1 1층,0507-1353-2351,192,3,,https://map.naver.com/p/search/%ED%82%A4%ED%82%A4%EB%85%B8%ED%9E%88%ED%98%B8,gdx6cHCZAvLU,37.5429889,127.0551111
