위스키종류,영문,풍미특징,페어링역할
버번,Bourbon,"옥수수 단맛·바닐라·오크, 비교적 高도수",기름 절단·매운맛 완화·단짠 양념과 정합
라이,Rye,스파이시·드라이·후추감,"기름진 음식 컷, 클래식 칵테일 베이스"
피트(스모키),Peated / Islay·Island,훈연·요오드·바다향(아일라/스카이),숯불 구이·양고기·기름진 생선과 훈연 동조
셰리,Sherried,건과일·견과·초콜릿 단맛,숙성육 감칠맛 보완·식후 디제스티프
스페이사이드(과일몰트),Speyside (unpeated),사과·배·꽃·맥아의 가벼운 단맛,가벼운 식사·양식·담백한 안주의 식중주
하이랜드(균형/시트러스),Highland,"시트러스·꿀·은은한 과일, 균형형","매운/향신 음식 완화, 올라운드"
코스탈(해안 몰트),Coastal (unpeated/lightly),"해풍·미네랄·왁시함, 피트 약하거나 無",회·해산물의 바다향과 동조하되 덮지 않음
로우랜드(라이트),Lowland,플로럴·라이트·드라이,냉면 등 슴슴·섬세한 음식 보존
블렌디드(하이볼),Blended,"부드러운 밸런스, 하이볼 베이스로 무난","국물·기름진 볶음·범용, 탄산 희석"
재패니즈(하이볼),Japanese / Highball,"가볍고 깔끔, 탄산과 궁합",이자카야·삼겹살 등 하이볼 정석
테네시,Tennessee,"버번계, 차콜필터로 둥근 단맛",닭·가벼운 양념 구이 하이볼
