음식프로필,대표메뉴(예),추천_위스키종류,대안_위스키종류,서빙,근거
양고기·향신료,양갈비·양꼬치 (구운 양고기),피트(스모키),셰리,니트 또는 물 몇 방울,누린향·쯔란(커민)에 피트 훈연이 '훈제양고기'처럼 동조; 셰리는 풍미를 받쳐줌.
장어·양념구이,장어구이 (단짠 양념·기름),피트(스모키),버번,하이볼 또는 니트,"단짠 양념·기름을 피트의 후추·훈연이 대비로 끊고, 버번 단맛은 양념과 결이 맞음."
곱창·막창(소내장),곱창·막창·대창 (불향 내장구이),버번,피트(스모키),니트 또는 하이볼,버번 단맛+도수로 기름·잡내 정리; 피트는 숯불 불향과 훈연 동조.
회·사시미·스시(담백),모듬회·사시미·스시 (담백한 생선),코스탈(해안 몰트),스페이사이드(과일몰트),하이볼 또는 니트(소량),해안 몰트의 해풍·미네랄이 회의 바다향과 동조; 피트 없는 경량 몰트로 담백함 보존.
참치·방어(기름진 생선),참치·방어 (지방 오른 생선),피트(스모키),코스탈(해안 몰트),하이볼 또는 니트(소량),지방 오른 생선엔 옅은 피트의 후추·훈연이 기름 정리.
숙성 한우·소고기구이,한우·숙성 소고기구이 (마블링·마이야르),셰리,버번,니트,셰리 건과일·견과가 숙성육 감칠맛·마이야르에 층을 더함; 버번 도수로 마블링 절단.
삼겹살·돼지구이,삼겹살·목살·돼지구이 (기름진 구이),재패니즈(하이볼),피트(스모키),하이볼,하이볼 탄산이 기름 절단(클래식); 피트는 숯불 훈연 동조.
냉면·평양냉면(담백),평양냉면·어복쟁반 (슴슴한 육수),로우랜드(라이트),스페이사이드(과일몰트),니트(소량) 또는 하이볼,슴슴한 메밀·맑은 육수의 섬세함을 라이트 몰트로 보존.
국밥·곰탕·탕류(한식 보양),국밥·곰탕·갈비탕·족발 (진한 국물),블렌디드(하이볼),버번,하이볼,"진한 국물·마늘·기름엔 부드러운 블렌디드, 하이볼로 입가심."
중식(매운/마라),훠궈·마라 (얼얼·매운 중식),버번,블렌디드(하이볼),온더락 또는 하이볼,버번(특히 휘티드) 둥근 단맛이 캡사이신 완화; 고도수 니트보다 희석 권장.
중식(기름진 볶음),짜장·동파육·어향 (기름진 중식),블렌디드(하이볼),버번,하이볼,기름진 볶음·소스엔 하이볼 탄산이 느끼함 정리.
아구찜·매운 해물찜,아구찜·매운탕 (칼칼한 해물찜),하이랜드(균형/시트러스),블렌디드(하이볼),하이볼,부드러운 과일·시트러스+희석으로 칼칼한 매운맛 진정.
등푸른생선·생선구이,고등어·생선구이 (기름진 등푸른생선),피트(스모키),코스탈(해안 몰트),니트 또는 하이볼,구운 등푸른생선 기름·바다향에 피트의 해풍·후추 동조.
닭구이,닭구이·닭특수부위 (불향 닭),테네시,버번,하이볼,"차콜필터 둥근 단맛·바닐라가 양념 닭구이와 매칭, 하이볼."
동남아(쌀국수·팟타이),쌀국수·팟타이 (허브·향신료),하이랜드(균형/시트러스),블렌디드(하이볼),하이볼,허브·라임·약한 매운맛에 시트러스 과일향이 산뜻.
스테이크·양식 고기,스테이크 (드라이에이징·양식 육요리),셰리,버번,니트,셰리 건과일·견과가 마이야르와 층; 버번 바닐라가 시즈닝과 정합.
양식·파스타·피자,파스타·피자·리조또 (양식),스페이사이드(과일몰트),재패니즈(하이볼),니트 또는 하이볼,토마토·치즈·크림에 가벼운 배·사과향 식사주; 하이볼로도 무난.
와인바·샴페인(디제스티프),와인바·샴페인 (안주+식후주),셰리,스페이사이드(과일몰트),니트(식후),"치즈·차콘 안주와 식후 한 잔, 셰리 단맛이 디저트처럼 마무리."
이자카야·사케·라멘(일식주점),이자카야·사케·라멘 (일식 주점),재패니즈(하이볼),스페이사이드(과일몰트),하이볼,야키토리·라멘 등 기름·짭짤한 안주에 일본식 하이볼 정석.
칵테일바,칵테일바 (믹솔로지),버번,라이,온더락 또는 칵테일 베이스,올드패션드·위스키사워 등 클래식 칵테일 베이스로 버번/라이.
수제맥주·술집,수제맥주·술집 (가벼운 안주),버번,블렌디드(하이볼),하이볼 또는 보일러메이커,펍 안주·맥주 곁들임에 버번 하이볼/보일러메이커가 가벼움.
기타(범용),대표메뉴 확인 필요,블렌디드(하이볼),스페이사이드(과일몰트),하이볼 또는 니트,분류 밖 범용; 가벼운 훈연·과일 밸런스의 블렌디드가 올라운더.
