역,순위,식당명,카테고리,대표메뉴(추정),음식프로필,추천_위스키종류,대안_위스키종류,예시보틀(후속),예시보틀_가격,서빙,페어링근거,위스키신호,네이버지도,대표사진,confidence
강남역,1,따롱이훠궈 강남점,훠궈,훠궈·마라 (얼얼·매운 중식),중식(매운/마라),버번,블렌디드(하이볼),메이커스 마크,가격미상,온더락 또는 하이볼,얼얼하고 매운 마라·훠궈에는 밀(휘티드) 버번 메이커스 마크의 둥근 단맛이 캡사이신 자극을 누그러뜨린다. 고도수 니트는 매운맛을 키우니 희석 권장(매운맛 완화).,,https://map.naver.com/p/search/%EB%94%B0%EB%A1%B1%EC%9D%B4%ED%9B%A0%EA%B6%88%20%EA%B0%95%EB%82%A8%EC%A0%90,https://d12zq4w4guyljn.cloudfront.net/300_300_20260326100835_photo1_0f25b32ad3fc.webp,메뉴=카테고리 추정·페어링=원리기반(매장 위스키정책 전화확인 권장)
강남역,2,다몽집 신논현본점,"고깃집, 안창",한우·숙성 소고기구이 (마블링·마이야르),숙성 한우·소고기구이,셰리,버번,글렌드로낙 12년,"79,800원~82,800원",니트,"숙성 한우의 진한 감칠맛과 마이야르(불맛)에는 셰리캐스크의 건과일·견과 단맛이 풍미의 층을 더하고, 대안 버번의 높은 도수가 마블링 기름을 정리한다(감칠맛 보완·지방절단).",,https://map.naver.com/p/search/%EB%8B%A4%EB%AA%BD%EC%A7%91%20%EC%8B%A0%EB%85%BC%ED%98%84%EB%B3%B8%EC%A0%90,https://d12zq4w4guyljn.cloudfront.net/300_300_20260420113601_photo1_d7d578b999f9.webp,메뉴=카테고리 추정·페어링=원리기반(매장 위스키정책 전화확인 권장)
강남역,3,돝고기506,"삼겹살, 숙성돼지고기",삼겹살·목살·돼지구이 (기름진 구이),삼겹살·돼지구이,재패니즈(하이볼),피트(스모키),산토리 가쿠빈,"32,980원~39,800원",하이볼,기름진 삼겹·목살에는 하이볼의 탄산이 느끼함을 끊어주는 클래식 조합(가쿠빈 하이볼). 대안 탈리스커는 숯불 불향과 훈연으로 동조한다(지방절단·훈연 동조).,,https://map.naver.com/p/search/%EB%8F%9D%EA%B3%A0%EA%B8%B0506,https://d12zq4w4guyljn.cloudfront.net/300_300_20260206030109759_photo_d2aaa395c06b.webp,메뉴=카테고리 추정·페어링=원리기반(매장 위스키정책 전화확인 권장)
강남역,4,혜장국,"육개장, 한우육개장",한우·숙성 소고기구이 (마블링·마이야르),숙성 한우·소고기구이,셰리,버번,글렌드로낙 12년,"79,800원~82,800원",니트,"숙성 한우의 진한 감칠맛과 마이야르(불맛)에는 셰리캐스크의 건과일·견과 단맛이 풍미의 층을 더하고, 대안 버번의 높은 도수가 마블링 기름을 정리한다(감칠맛 보완·지방절단).",,https://map.naver.com/p/search/%ED%98%9C%EC%9E%A5%EA%B5%AD,https://d12zq4w4guyljn.cloudfront.net/300_300_20260501103233_photo1_4065cbddc18d.webp,메뉴=카테고리 추정·페어링=원리기반(매장 위스키정책 전화확인 권장)
강남역,5,창고43 강남점,"한우, 소고기",한우·숙성 소고기구이 (마블링·마이야르),숙성 한우·소고기구이,셰리,버번,글렌드로낙 12년,"79,800원~82,800원",니트,"숙성 한우의 진한 감칠맛과 마이야르(불맛)에는 셰리캐스크의 건과일·견과 단맛이 풍미의 층을 더하고, 대안 버번의 높은 도수가 마블링 기름을 정리한다(감칠맛 보완·지방절단).",,https://map.naver.com/p/search/%EC%B0%BD%EA%B3%A043%20%EA%B0%95%EB%82%A8%EC%A0%90,https://d12zq4w4guyljn.cloudfront.net/300_300_20260510030922_menu1_ff1d1f3508f7.webp,메뉴=카테고리 추정·페어링=원리기반(매장 위스키정책 전화확인 권장)
강남역,6,고기꾼 김춘배 강남점,"고기집, 갈비살",한우·숙성 소고기구이 (마블링·마이야르),숙성 한우·소고기구이,셰리,버번,글렌드로낙 12년,"79,800원~82,800원",니트,"숙성 한우의 진한 감칠맛과 마이야르(불맛)에는 셰리캐스크의 건과일·견과 단맛이 풍미의 층을 더하고, 대안 버번의 높은 도수가 마블링 기름을 정리한다(감칠맛 보완·지방절단).",,https://map.naver.com/p/search/%EA%B3%A0%EA%B8%B0%EA%BE%BC%20%EA%B9%80%EC%B6%98%EB%B0%B0%20%EA%B0%95%EB%82%A8%EC%A0%90,https://d12zq4w4guyljn.cloudfront.net/300_300_20251227065426227_photo_e7e0cd39007d.webp,메뉴=카테고리 추정·페어링=원리기반(매장 위스키정책 전화확인 권장)
강남역,7,도툼횟집,"생선회, 매운탕",모듬회·사시미·스시 (담백한 생선),회·사시미·스시(담백),코스탈(해안 몰트),스페이사이드(과일몰트),클라이넬리시 14년,"79,400원~84,800원",하이볼 또는 니트(소량),"섬세한 흰살·붉은살 생선의 감칠맛을 덮지 않도록 피트 없는 경량 몰트가 정답. 클라이넬리시의 해풍·왁시한 질감이 회의 바다향과 동조하고, 대안 글렌리벳은 사과·꽃향으로 입을 가볍게 정리한다(담백함 보존).",,https://map.naver.com/p/search/%EB%8F%84%ED%88%BC%ED%9A%9F%EC%A7%91,https://d12zq4w4guyljn.cloudfront.net/300_300_20260104125130_photo1_21dfcde4afc6.webp,메뉴=카테고리 추정·페어링=원리기반(매장 위스키정책 전화확인 권장)
강남역,8,고메램 강남점,양고기,양갈비·양꼬치 (구운 양고기),양고기·향신료,피트(스모키),셰리,라프로익 10년,"69,800원~79,800원",니트 또는 물 몇 방울,양고기 특유의 진한 누린향·쯔란(커민) 향신료에는 아일라 피트의 훈연·요오드가 '훈제 양고기'처럼 동조하며 기름기를 깔끔히 정리한다(훈연 동조).,,https://map.naver.com/p/search/%EA%B3%A0%EB%A9%94%EB%9E%A8%20%EA%B0%95%EB%82%A8%EC%A0%90,https://d12zq4w4guyljn.cloudfront.net/300_300_20260228093011_photo1_606b69bc599a.webp,메뉴=카테고리 추정·페어링=원리기반(매장 위스키정책 전화확인 권장)
강남역,9,진구곱창,"곱창, 소곱창",곱창·막창·대창 (불향 내장구이),곱창·막창(소내장),버번,피트(스모키),버팔로 트레이스,"49,800원~49,980원",니트 또는 하이볼,"기름지고 풍미가 강한 내장구이에는 버번의 옥수수 단맛+높은 도수가 기름·잡내를 정리하고, 대안 아일라 피트는 숯불 불향과 훈연으로 동조한다(지방절단·훈연 동조).",,https://map.naver.com/p/search/%EC%A7%84%EA%B5%AC%EA%B3%B1%EC%B0%BD,https://d12zq4w4guyljn.cloudfront.net/300_300_20260301083343_photo1_21dfcde4afc6.webp,메뉴=카테고리 추정·페어링=원리기반(매장 위스키정책 전화확인 권장)
강남역,10,청간옥,"평양냉면, 어복쟁반",평양냉면·어복쟁반 (슴슴한 육수),냉면·평양냉면(담백),로우랜드(라이트),스페이사이드(과일몰트),글렌킨치 12년,"59,800원",니트(소량) 또는 하이볼,슴슴한 메밀과 맑은 육수의 섬세함을 해치지 않는 가벼운 로우랜드/스페이사이드가 적합. 꽃·맥아의 깔끔함이 식사를 무겁게 하지 않는다(담백함 보존).,,https://map.naver.com/p/search/%EC%B2%AD%EA%B0%84%EC%98%A5,https://d12zq4w4guyljn.cloudfront.net/300_300_20251105112124_photo1_4c842165758c.webp,메뉴=카테고리 추정·페어링=원리기반(매장 위스키정책 전화확인 권장)
