역,순위,식당명,카테고리,대표메뉴(추정),음식프로필,추천_위스키종류,대안_위스키종류,예시보틀(후속),예시보틀_가격,서빙,페어링근거,위스키신호,네이버지도,대표사진,confidence
합정역,1,빠넬로,화덕피자,파스타·피자·리조또 (양식),양식·파스타·피자,스페이사이드(과일몰트),재패니즈(하이볼),글렌피딕 12년,"59,000원~84,800원",니트 또는 하이볼,"토마토·치즈·크림의 산미와 감칠맛에는 글렌피딕의 가벼운 배·사과향이 식사주로 무난하고, 하이볼로 내면 가벼운 식전·식중주가 된다(과일향 매칭).",,https://map.naver.com/p/search/%EB%B9%A0%EB%84%AC%EB%A1%9C,https://d12zq4w4guyljn.cloudfront.net/300_300_20260413103639_photo1_9f126b0df5fd.webp,메뉴=카테고리 추정·페어링=원리기반(매장 위스키정책 전화확인 권장)
합정역,2,짚불돈,"삼겹살, 고기집",삼겹살·목살·돼지구이 (기름진 구이),삼겹살·돼지구이,재패니즈(하이볼),피트(스모키),산토리 가쿠빈,"32,980원~39,800원",하이볼,기름진 삼겹·목살에는 하이볼의 탄산이 느끼함을 끊어주는 클래식 조합(가쿠빈 하이볼). 대안 탈리스커는 숯불 불향과 훈연으로 동조한다(지방절단·훈연 동조).,,https://map.naver.com/p/search/%EC%A7%9A%EB%B6%88%EB%8F%88,https://d12zq4w4guyljn.cloudfront.net/300_300_20260509095903_photo1_5cb7984a8b99.webp,메뉴=카테고리 추정·페어링=원리기반(매장 위스키정책 전화확인 권장)
합정역,3,마담 풍천,"장어, 오마카세",장어구이 (단짠 양념·기름),장어·양념구이,피트(스모키),버번,탈리스커 10년,"69,800원",하이볼 또는 니트,"장어 양념구이의 단짠 소스와 기름진 살에는 탈리스커의 후추·바다향 훈연이 대비를 주며 느끼함을 끊고, 대안 버번의 옥수수 단맛은 양념과 결이 맞는다(지방절단·대비).",,https://map.naver.com/p/search/%EB%A7%88%EB%8B%B4%20%ED%92%8D%EC%B2%9C,https://d12zq4w4guyljn.cloudfront.net/300_300_20260510014153167_photo_5e0bf9bca473.webp,메뉴=카테고리 추정·페어링=원리기반(매장 위스키정책 전화확인 권장)
합정역,4,우마담,한우오마카세,한우·숙성 소고기구이 (마블링·마이야르),숙성 한우·소고기구이,셰리,버번,글렌드로낙 12년,"79,800원~82,800원",니트,"숙성 한우의 진한 감칠맛과 마이야르(불맛)에는 셰리캐스크의 건과일·견과 단맛이 풍미의 층을 더하고, 대안 버번의 높은 도수가 마블링 기름을 정리한다(감칠맛 보완·지방절단).",,https://map.naver.com/p/search/%EC%9A%B0%EB%A7%88%EB%8B%B4,https://d12zq4w4guyljn.cloudfront.net/300_300_20260411210649_photo1_e7869945245f.webp,메뉴=카테고리 추정·페어링=원리기반(매장 위스키정책 전화확인 권장)
합정역,5,스케쥴 합정,"파스타, 김치볶음밥",파스타·피자·리조또 (양식),양식·파스타·피자,스페이사이드(과일몰트),재패니즈(하이볼),글렌피딕 12년,"59,000원~84,800원",니트 또는 하이볼,"토마토·치즈·크림의 산미와 감칠맛에는 글렌피딕의 가벼운 배·사과향이 식사주로 무난하고, 하이볼로 내면 가벼운 식전·식중주가 된다(과일향 매칭).",,https://map.naver.com/p/search/%EC%8A%A4%EC%BC%80%EC%A5%B4%20%ED%95%A9%EC%A0%95,https://d12zq4w4guyljn.cloudfront.net/300_300_20260416114801454_photo_c471d9b45b45.webp,메뉴=카테고리 추정·페어링=원리기반(매장 위스키정책 전화확인 권장)
합정역,6,카밀로 라자네리아 2호점,"뇨끼, 라자냐",파스타·피자·리조또 (양식),양식·파스타·피자,스페이사이드(과일몰트),재패니즈(하이볼),글렌피딕 12년,"59,000원~84,800원",니트 또는 하이볼,"토마토·치즈·크림의 산미와 감칠맛에는 글렌피딕의 가벼운 배·사과향이 식사주로 무난하고, 하이볼로 내면 가벼운 식전·식중주가 된다(과일향 매칭).",,https://map.naver.com/p/search/%EC%B9%B4%EB%B0%80%EB%A1%9C%20%EB%9D%BC%EC%9E%90%EB%84%A4%EB%A6%AC%EC%95%84%202%ED%98%B8%EC%A0%90,https://d12zq4w4guyljn.cloudfront.net/300_300_20250718082040_photo1_20e4d9748a66.webp,메뉴=카테고리 추정·페어링=원리기반(매장 위스키정책 전화확인 권장)
합정역,7,청돈옥,"삼겹살, 고기집",삼겹살·목살·돼지구이 (기름진 구이),삼겹살·돼지구이,재패니즈(하이볼),피트(스모키),산토리 가쿠빈,"32,980원~39,800원",하이볼,기름진 삼겹·목살에는 하이볼의 탄산이 느끼함을 끊어주는 클래식 조합(가쿠빈 하이볼). 대안 탈리스커는 숯불 불향과 훈연으로 동조한다(지방절단·훈연 동조).,,https://map.naver.com/p/search/%EC%B2%AD%EB%8F%88%EC%98%A5,https://d12zq4w4guyljn.cloudfront.net/300_300_20251224101508_menu1_69bc35ed1eb7.webp,메뉴=카테고리 추정·페어링=원리기반(매장 위스키정책 전화확인 권장)
합정역,8,피그바,"고깃집, 목살",삼겹살·목살·돼지구이 (기름진 구이),삼겹살·돼지구이,재패니즈(하이볼),피트(스모키),산토리 가쿠빈,"32,980원~39,800원",하이볼,기름진 삼겹·목살에는 하이볼의 탄산이 느끼함을 끊어주는 클래식 조합(가쿠빈 하이볼). 대안 탈리스커는 숯불 불향과 훈연으로 동조한다(지방절단·훈연 동조).,,https://map.naver.com/p/search/%ED%94%BC%EA%B7%B8%EB%B0%94,https://d12zq4w4guyljn.cloudfront.net/300_300_20260409123546072_photo_f20cbbf56800.webp,메뉴=카테고리 추정·페어링=원리기반(매장 위스키정책 전화확인 권장)
합정역,9,목벌,"한우, 고기집",한우·숙성 소고기구이 (마블링·마이야르),숙성 한우·소고기구이,셰리,버번,글렌드로낙 12년,"79,800원~82,800원",니트,"숙성 한우의 진한 감칠맛과 마이야르(불맛)에는 셰리캐스크의 건과일·견과 단맛이 풍미의 층을 더하고, 대안 버번의 높은 도수가 마블링 기름을 정리한다(감칠맛 보완·지방절단).",,https://map.naver.com/p/search/%EB%AA%A9%EB%B2%8C,https://d12zq4w4guyljn.cloudfront.net/300_300_20251026094811_photo1_62d0c3869ffb.webp,메뉴=카테고리 추정·페어링=원리기반(매장 위스키정책 전화확인 권장)
합정역,10,국제양식,"양갈비, 양볶음밥",양갈비·양꼬치 (구운 양고기),양고기·향신료,피트(스모키),셰리,라프로익 10년,"69,800원~79,800원",니트 또는 물 몇 방울,양고기 특유의 진한 누린향·쯔란(커민) 향신료에는 아일라 피트의 훈연·요오드가 '훈제 양고기'처럼 동조하며 기름기를 깔끔히 정리한다(훈연 동조).,,https://map.naver.com/p/search/%EA%B5%AD%EC%A0%9C%EC%96%91%EC%8B%9D,https://d12zq4w4guyljn.cloudfront.net/300_300_20260423112854_photo1_f52ef02c0b3c.webp,메뉴=카테고리 추정·페어링=원리기반(매장 위스키정책 전화확인 권장)
